symbol,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore_field
MATIC,1676764800000,1.48480000,1.53630000,1.46130000,1.47850000,100615653.50000000,1676851199999,151485974.06537000,318329,49009779.60000000,73788226.55282000,0
MATIC,1676851200000,1.47850000,1.50730000,1.43110000,1.47530000,86154559.20000000,1676937599999,127205685.17376000,272162,41692713.80000000,61566679.69401000,0
MATIC,1676937600000,1.47530000,1.50240000,1.36210000,1.38670000,114835224.20000000,1677023999999,163472280.56921000,328343,55373044.70000000,78826399.39672000,0
MATIC,1677024000000,1.38660000,1.40180000,1.31950000,1.39560000,109389336.30000000,1677110399999,148506874.27040000,317485,54240609.90000000,73660363.44208000,0
MATIC,1677110400000,1.39590000,1.41880000,1.33310000,1.35330000,76204290.90000000,1677196799999,104897302.66578000,234850,36600327.80000000,50422930.29562000,0
MATIC,1677196800000,1.35340000,1.36370000,1.24350000,1.26500000,96442453.80000000,1677283199999,125315027.29930000,271364,44979438.40000000,58441862.95301000,0
MATIC,1677283200000,1.26490000,1.27830000,1.19390000,1.24700000,73023179.50000000,1677369599999,90836816.75979000,235620,35991890.40000000,44776610.92085000,0
MATIC,1677369600000,1.24690000,1.30000000,1.23730000,1.28170000,60693640.50000000,1677455999999,77133728.89766000,191777,30563986.60000000,38848861.22706000,0
MATIC,1677456000000,1.28170000,1.28740000,1.21350000,1.23450000,91008779.10000000,1677542399999,114017060.17606000,249946,44134925.20000000,55263261.58222000,0
MATIC,1677542400000,1.23460000,1.24400000,1.18030000,1.19640000,85501607.80000000,1677628799999,104302921.18187000,192867,40798850.20000000,49811383.38007000,0
MATIC,1677628800000,1.19630000,1.26400000,1.19030000,1.24890000,73272414.30000000,1677715199999,90681614.95752000,186482,35922596.00000000,44448437.80745000,0
MATIC,1677715200000,1.24890000,1.25380000,1.19170000,1.22740000,56731954.30000000,1677801599999,68897671.29193000,140645,27423878.80000000,33300466.23169000,0
MATIC,1677801600000,1.22730000,1.22860000,1.12240000,1.16900000,101223835.40000000,1677887999999,117825916.09799000,246062,48396217.50000000,56342112.28349000,0
MATIC,1677888000000,1.16890000,1.17710000,1.09200000,1.12770000,54449243.50000000,1677974399999,61624175.16538000,162062,26130209.50000000,29584146.82384000,0
MATIC,1677974400000,1.12770000,1.15980000,1.11800000,1.13600000,50311053.70000000,1678060799999,57491719.70744000,132097,24691871.40000000,28211893.28984000,0
MATIC,1678060800000,1.13600000,1.14740000,1.11440000,1.13090000,47628646.60000000,1678147199999,53798102.13044000,118097,24208094.60000000,27344553.97261000,0
MATIC,1678147200000,1.13100000,1.16900000,1.11200000,1.15010000,83913518.00000000,1678233599999,95757138.35002000,206737,41395963.60000000,47243502.27788000,0
MATIC,1678233600000,1.15020000,1.15760000,1.03850000,1.05070000,99004188.90000000,1678319999999,108654492.60863000,231822,47854313.80000000,52546339.95088000,0
MATIC,1678320000000,1.05070000,1.09430000,0.97000000,1.01720000,134098922.30000000,1678406399999,139960169.54125000,296300,65293784.00000000,68198105.86788000,0
MATIC,1678406400000,1.01720000,1.06900000,0.94260000,1.05750000,158147999.30000000,1678492799999,159895387.66405000,387461,79625463.80000000,80541110.77697000,0
MATIC,1678492800000,1.05760000,1.08780000,0.98660000,1.05630000,128442596.10000000,1678579199999,133157567.89960000,382010,61972335.60000000,64210090.61913000,0
MATIC,1678579200000,1.05630000,1.15400000,1.03800000,1.14910000,130111687.80000000,1678665599999,141499735.97052000,376412,66563215.60000000,72420202.50533000,0
MATIC,1678665600000,1.14920000,1.19950000,1.09160000,1.19290000,161189815.40000000,1678751999999,185691879.30558000,454898,78928188.20000000,90908127.83669000,0
MATIC,1678752000000,1.19280000,1.24430000,1.14150000,1.19620000,167054860.50000000,1678838399999,199676209.65274000,467102,83257773.10000000,99507984.46174000,0
MATIC,1678838400000,1.19600000,1.22800000,1.07480000,1.11150000,139105773.60000000,1678924799999,160548015.41080000,417084,66990471.90000000,77307989.54188000,0
